,Network,Show,date,Duration,Broadcast Week,Day Of Week,Hour Of Day,brand_id,favs,rtcount,twitter_polarity,twitter_subjectivity,youtube_polarity,youtube_subjectivity
0,USA Network,The Shawshank Redemption,2018-04-08,15,14,7,20,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
1,USA Network,The Shawshank Redemption,2018-04-08,15,14,7,21,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
2,FYI,Duck Dynasty,2018-04-08,15,14,7,23,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
3,FYI,Duck Dynasty,2018-04-08,15,14,7,22,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
4,MSNBC,Dateline Extra,2018-04-08,15,14,7,23,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
5,MSNBC,Dateline Extra,2018-04-08,15,14,7,23,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
6,MSNBC,Kasie DC,2018-04-08,15,14,7,20,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
7,MSNBC,Kasie DC,2018-04-08,15,14,7,20,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
8,TBS,The Big Bang Theory,2018-04-08,15,14,7,21,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
9,TBS,The Big Bang Theory,2018-04-08,15,14,7,21,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
10,TBS,San Andreas,2018-04-08,15,14,7,20,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
11,AMC,The Walking Dead,2018-04-08,15,14,7,16,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
12,AMC,The Walking Dead,2018-04-08,15,14,7,18,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
13,History Channel,American Pickers,2018-04-08,15,14,7,15,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
14,History Channel,American Pickers,2018-04-08,15,14,7,15,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
15,History Channel,American Pickers,2018-04-08,15,14,7,14,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
16,History Channel,The Curse of Civil War Gold: Diving Deeper,2018-04-08,15,14,7,0,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
17,Travel Channel,Bizarre Foods With Andrew Zimmern,2018-04-08,15,14,7,14,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
18,Travel Channel,Food Paradise,2018-04-08,15,14,7,16,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
19,Travel Channel,Bizarre Foods: Delicious Destinations,2018-04-08,15,14,7,15,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
20,FYI,Parking Wars,2018-04-08,15,14,7,3,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
21,FYI,Parking Wars,2018-04-08,15,14,7,1,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
22,HGTV,House Hunters,2018-04-08,15,14,7,14,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
23,Paramount Network,Bar Rescue,2018-04-08,15,14,7,11,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
24,Paramount Network,Bar Rescue,2018-04-08,15,14,7,13,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
25,Paramount Network,Bar Rescue,2018-04-08,15,14,7,13,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
26,Paramount Network,Engine Power,2018-04-08,15,14,7,9,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
27,MSNBC,Dateline Extra,2018-04-08,15,14,7,1,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
28,MSNBC,The Beat With Ari Melber,2018-04-08,15,14,7,0,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
29,MSNBC,The Beat With Ari Melber,2018-04-08,15,14,7,0,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
30,MSNBC,Kasie DC,2018-04-08,15,14,7,19,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
31,TBS,San Andreas,2018-04-08,15,14,7,19,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
32,A&E,Live PD,2018-04-08,15,14,7,2,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
33,A&E,Live PD: Rewind,2018-04-08,15,14,7,3,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
34,FOX News Channel,America's News Headquarters,2018-04-08,15,14,7,12,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
35,Discovery Channel,Gold Rush,2018-04-08,15,14,7,10,tripadvisor,18.545454545454547,7.090909090909091,0.18787878787878787,0.3977272727272727,,
36,Travel Channel,Bizarre Foods With Andrew Zimmern,2018-04-09,15,15,1,12,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
37,Travel Channel,Bizarre Foods With Andrew Zimmern,2018-04-09,15,15,1,16,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
38,Travel Channel,Bizarre Foods With Andrew Zimmern,2018-04-09,15,15,1,16,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
39,AMC,Braveheart,2018-04-09,15,15,1,15,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
40,HGTV,Love It or List It,2018-04-09,15,15,1,13,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
41,Discovery Channel,Fast N' Loud,2018-04-09,15,15,1,16,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
42,Discovery Channel,Shifting Gears With Aaron Kaufman,2018-04-09,15,15,1,11,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
43,FYI,Duck Dynasty,2018-04-09,15,15,1,3,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
44,FYI,Duck Dynasty,2018-04-09,15,15,1,2,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
45,Paramount Network,Two and a Half Men,2018-04-09,15,15,1,16,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
46,Paramount Network,Two and a Half Men,2018-04-09,15,15,1,16,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
47,Paramount Network,Bar Rescue,2018-04-09,15,15,1,3,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
48,CNN,New Day With Chris Cuomo and Alisyn Camerota,2018-04-09,15,15,1,7,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
49,TNT,The Hobbit: The Battle of the Five Armies,2018-04-09,15,15,1,0,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
50,TNT,The Hobbit: The Battle of the Five Armies,2018-04-09,15,15,1,1,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
51,MSNBC,Lockup: Tulsa- Extended Stay,2018-04-09,15,15,1,1,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
52,TBS,American Dad,2018-04-09,15,15,1,13,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
53,TBS,American Dad,2018-04-09,15,15,1,14,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
54,TBS,Bob's Burgers,2018-04-09,15,15,1,15,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
55,TBS,Final Space,2018-04-09,15,15,1,1,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
56,Bloomberg Business Television,Bloomberg Technology,2018-04-09,15,15,1,23,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
57,Bloomberg Business Television,Bloomberg Markets: Asia,2018-04-09,15,15,1,22,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
58,A&E,Biggie: The Life of Notorious B.I.G.,2018-04-09,15,15,1,21,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
59,FYI,Kitchen Nightmares,2018-04-09,15,15,1,21,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
60,FYI,Kitchen Nightmares,2018-04-09,15,15,1,22,tripadvisor,867.0,86.78947368421052,0.3223684210526316,0.23815789473684207,,
61,FYI,American Restoration,2018-04-11,15,15,3,20,tripadvisor,39.2,23.6,0.12000000000000002,0.58,-0.5,0.8500000000000001
62,FYI,American Restoration,2018-04-11,15,15,3,22,tripadvisor,39.2,23.6,0.12000000000000002,0.58,-0.5,0.8500000000000001
